"id","artist","title","length"
1,The Beatles,Hey Jude,431
2,The Rolling Stones,(I Can't Get No) Satisfaction,224
3,Led Zeppelin,Stairway to Heaven,482
4,Bob Dylan,Like a Rolling Stone,373
5,Queen,Bohemian Rhapsody,355
6,Pink Floyd,Wish You Were Here,334
7,The Doors,Light My Fire,426
8,The Beach Boys,Good Vibrations,215
9,Elvis Presley,Suspicious Minds,262
10,The Who,My Generation,198
11,Simon & Garfunkel,Bridge Over Troubled Water,292
12,The Temptations,My Girl,174
13,The Supremes,Stop! In the Name of Love,174
14,Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",161
15,Aretha Franklin,Respect,147
16,The Jackson 5,I Want You Back,180
17,Jimi Hendrix,All Along the Watchtower,241
18,The Velvet Underground,Sunday Morning,174
19,Cream,Sunshine of Your Love,251
20,The Kinks,You Really Got Me,133
21,Marvin Gaye,I Heard It Through the Grapevine,194
22,David Bowie,Space Oddity,315
23,The Byrds,Mr. Tambourine Man,149
24,The Rolling Stones,Paint It Black,224
25,John Lennon,Imagine,183
26,Creedence Clearwater Revival,Fortunate Son,140
27,Janis Joplin,Me and Bobby McGee,271
28,The Doors,People Are Strange,133
29,The Beach Boys,Surfin' U.S.A.,147
30,Elton John,Your Song,241
31,The Who,Pinball Wizard,182
32,The Beatles,Let It Be,243
33,Bob Dylan,Blowin' in the Wind,168
34,Led Zeppelin,Whole Lotta Love,333
35,The Rolling Stones,Ruby Tuesday,197
36,Pink Floyd,Comfortably Numb,382
37,The Doors,"Hello, I Love You",136
38,The Supremes,You Can't Hurry Love,166
39,James Brown,I Got You (I Feel Good),167
40,The Beatles,Help!,138
41,The Beach Boys,California Girls,165
42,The Temptations,Ain't Too Proud to Beg,154
43,The Four Tops,Reach Out I'll Be There,181
44,The Supremes,Where Did Our Love Go,155
45,The Beatles,Yesterday,125
46,Marvin Gaye,What's Going On,233
47,The Doors,Riders on the Storm,434